,created_on,property_type,lat,lon,price usd,b_id,c_b_id
5869,10/30/2015,apartment,-34.59923641,-58.38391853,105000.0,43.0,35
5870,11/9/2015,apartment,-34.60371374,-58.38158089,105000.0,43.0,1
5871,7/22/2014,PH,-34.603723200000005,-58.381593099999996,85000.0,43.0,9
5872,6/10/2015,PH,-34.6036844,-58.381559100000004,62000.0,43.0,9
5873,7/23/2015,apartment,-34.603723200000005,-58.381593099999996,140000.0,43.0,11
5874,6/6/2015,apartment,-34.603722999999995,-58.381593,72840.35,43.0,5
5875,9/22/2015,apartment,-34.6036844,-58.381559100000004,151447.0,43.0,1
5876,4/7/2015,apartment,-34.6036844,-58.381559100000004,165000.0,43.0,15
5877,4/10/2015,apartment,-34.603723200000005,-58.381593099999996,420000.0,43.0,1
5878,4/24/2015,PH,-34.60371374,-58.38158089,87000.0,43.0,19
5879,11/6/2015,apartment,-34.601978,-58.383814,149508.75,43.0,1
5880,6/16/2015,apartment,-34.60371374,-58.38158089,150000.0,43.0,19
5881,3/28/2015,apartment,-34.603723200000005,-58.381593099999996,420000.0,43.0,1
5882,4/12/2015,apartment,-34.59925399,-58.38407085,75000.0,43.0,35
5883,7/3/2015,apartment,-34.6036844,-58.381559100000004,106299.0,43.0,0
5884,6/10/2015,PH,-34.6036844,-58.381559100000004,85000.0,43.0,9
5885,6/10/2015,PH,-34.6036844,-58.381559100000004,85000.0,43.0,9
5886,5/12/2015,apartment,-34.603723200000005,-58.381593099999996,560000.0,43.0,48
5887,7/22/2015,apartment,-34.603723200000005,-58.381593099999996,229000.0,43.0,0
5888,9/2/2015,apartment,-34.6036844,-58.381559100000004,75000.0,43.0,29
5889,2/23/2015,apartment,-34.603723200000005,-58.381593099999996,138000.0,43.0,5
5890,8/14/2015,PH,-34.6036844,-58.381559100000004,60000.0,43.0,9
5891,2/26/2015,apartment,-34.603723200000005,-58.381593099999996,95000.0,43.0,2
5892,6/10/2015,PH,-34.6036844,-58.381559100000004,58000.0,43.0,9
5893,2/11/2015,apartment,-34.603723200000005,-58.381593099999996,86000.0,43.0,4
5894,3/26/2015,apartment,-34.603723200000005,-58.381593099999996,900000.0,43.0,48
5895,2/3/2015,apartment,-34.603723200000005,-58.381593099999996,80000.0,43.0,11
5896,2/11/2015,apartment,-34.6036844,-58.381559100000004,130000.0,43.0,12
5897,1/26/2016,apartment,-34.60371374,-58.38158089,270000.0,43.0,0
5898,1/13/2016,apartment,-34.60371374,-58.38158089,390000.0,43.0,48
5899,4/24/2015,apartment,-34.603723200000005,-58.381593099999996,0.0,43.0,31
5900,4/24/2015,apartment,-34.603723200000005,-58.381593099999996,0.0,43.0,31
5901,6/14/2015,apartment,-34.603684,-58.381558999999996,90000.0,43.0,24
5902,4/24/2015,apartment,-34.603723200000005,-58.381593099999996,82000.0,43.0,14
5903,12/14/2015,apartment,-34.60371374,-58.38158089,48000.0,43.0,19
5904,12/22/2015,apartment,-34.6036844,-58.381559100000004,245000.0,43.0,6
5905,1/26/2016,apartment,-34.6036844,-58.381559100000004,490000.0,43.0,44
5906,12/14/2015,apartment,-34.60371374,-58.38158089,148000.0,43.0,18
5907,12/23/2015,apartment,-34.6036844,-58.381559100000004,84000.0,43.0,1
5908,4/22/2016,apartment,-34.60371374,-58.38158089,95568.0,43.0,29
5909,3/16/2016,apartment,-34.60371374,-58.38158089,112000.0,43.0,19
5910,4/14/2016,apartment,-34.6036844,-58.381559100000004,112000.0,43.0,28
5911,12/22/2015,apartment,-34.6036844,-58.381559100000004,320000.0,43.0,1
5912,12/22/2015,apartment,-34.6036844,-58.381559100000004,320000.0,43.0,1
5913,12/22/2015,store,-34.6036844,-58.381559100000004,0.0,43.0,29
5914,1/13/2016,apartment,-34.60371374,-58.38158089,400000.0,43.0,48
5915,2/19/2016,house,-34.60371374,-58.38158089,369000.0,43.0,11
5916,1/29/2016,apartment,-34.60371374,-58.38158089,214200.0,43.0,0
